,timestamp,stored,actor,verb,object,result
1274,2023-05-09 06:18:57.984000+00:00,2023-05-09T06:18:57.984Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1273,2023-05-09 06:18:58.114000+00:00,2023-05-09T06:18:58.114Z,Tablet102,Swiped,Left,"{""score"":{""raw"":0}}"
1272,2023-05-09 06:18:58.983000+00:00,2023-05-09T06:18:58.983Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1271,2023-05-09 06:18:59.668000+00:00,2023-05-09T06:18:59.668Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1270,2023-05-09 06:19:00.348000+00:00,2023-05-09T06:19:00.348Z,iPhone102,Swiped,Right,"{""score"":{""raw"":0}}"
1269,2023-05-09 06:19:01.002000+00:00,2023-05-09T06:19:01.002Z,iPhone102,Swiped,Right,"{""score"":{""raw"":0}}"
1268,2023-05-09 06:19:02.347000+00:00,2023-05-09T06:19:02.347Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1267,2023-05-09 06:19:02.542000+00:00,2023-05-09T06:19:02.542Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1266,2023-05-09 06:19:03.575000+00:00,2023-05-09T06:19:03.575Z,Tablet101,Swiped,Right,"{""score"":{""raw"":0}}"
1265,2023-05-09 06:19:03.600000+00:00,2023-05-09T06:19:03.600Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1264,2023-05-09 06:19:04.229000+00:00,2023-05-09T06:19:04.229Z,iPad101,Swiped,Left,"{""score"":{""raw"":0}}"
1263,2023-05-09 06:19:07.847000+00:00,2023-05-09T06:19:07.847Z,Android101,Placed,Earth,"{""score"":{""raw"":0}}"
1262,2023-05-09 06:19:08.894000+00:00,2023-05-09T06:19:08.894Z,Android104,Placed,Earth,"{""score"":{""raw"":0}}"
1261,2023-05-09 06:19:09.552000+00:00,2023-05-09T06:19:09.552Z,Android101,Swiped,Right,"{""score"":{""raw"":0}}"
1260,2023-05-09 06:19:10.127000+00:00,2023-05-09T06:19:10.127Z,Android101,Swiped,Left,"{""score"":{""raw"":0}}"
1259,2023-05-09 06:19:11.447000+00:00,2023-05-09T06:19:11.447Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1258,2023-05-09 06:19:14.426000+00:00,2023-05-09T06:19:14.426Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1257,2023-05-09 06:19:14.662000+00:00,2023-05-09T06:19:14.662Z,Tablet101,Swiped,Left,"{""score"":{""raw"":0}}"
1256,2023-05-09 06:19:15.556000+00:00,2023-05-09T06:19:15.556Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1255,2023-05-09 06:19:16.025000+00:00,2023-05-09T06:19:16.025Z,Android104,Swiped,Left,"{""score"":{""raw"":0}}"
1254,2023-05-09 06:19:17.027000+00:00,2023-05-09T06:19:17.027Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1253,2023-05-09 06:19:19.186000+00:00,2023-05-09T06:19:19.186Z,Android101,Placed,Earth,"{""score"":{""raw"":0}}"
1252,2023-05-09 06:19:26.048000+00:00,2023-05-09T06:19:26.048Z,Iphone101,Swiped,Right,"{""score"":{""raw"":0}}"
1251,2023-05-09 06:19:28.040000+00:00,2023-05-09T06:19:28.040Z,Iphone101,Swiped,Left,"{""score"":{""raw"":0}}"
1250,2023-05-09 06:19:28.327000+00:00,2023-05-09T06:19:28.327Z,Android104,Placed,Earth,"{""score"":{""raw"":0}}"
1249,2023-05-09 06:19:30.192000+00:00,2023-05-09T06:19:30.192Z,pc010,Logged In,Deusto,
1248,2023-05-09 06:19:33.342000+00:00,2023-05-09T06:19:33.342Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1247,2023-05-09 06:19:38.968000+00:00,2023-05-09T06:19:38.968Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1246,2023-05-09 06:19:40.385000+00:00,2023-05-09T06:19:40.385Z,Android101,Placed,Earth,"{""score"":{""raw"":0}}"
1245,2023-05-09 06:19:41.245000+00:00,2023-05-09T06:19:41.245Z,Android104,Placed,Earth,"{""score"":{""raw"":0}}"
1244,2023-05-09 06:19:42.340000+00:00,2023-05-09T06:19:42.340Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1243,2023-05-09 06:19:42.524000+00:00,2023-05-09T06:19:42.524Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1242,2023-05-09 06:19:48.734000+00:00,2023-05-09T06:19:48.734Z,Android104,Placed,Earth,"{""score"":{""raw"":0}}"
1241,2023-05-09 06:19:49.280000+00:00,2023-05-09T06:19:49.280Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1240,2023-05-09 06:19:51.126000+00:00,2023-05-09T06:19:51.126Z,Android104,Placed,Earth,"{""score"":{""raw"":0}}"
1239,2023-05-09 06:19:53.368000+00:00,2023-05-09T06:19:53.368Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1238,2023-05-09 06:19:54.573000+00:00,2023-05-09T06:19:54.573Z,Android104,Placed,Earth,"{""score"":{""raw"":0}}"
1237,2023-05-09 06:19:57.021000+00:00,2023-05-09T06:19:57.021Z,Tablet101,Placed,Earth,"{""score"":{""raw"":0}}"
1236,2023-05-09 06:20:00.054000+00:00,2023-05-09T06:20:00.054Z,Android104,Swiped,Left,"{""score"":{""raw"":0}}"
