,timestamp,stored,actor,verb,object,result
848,2023-05-10 06:27:59.979000+00:00,2023-05-10T06:27:59.979Z,PC011,Suggested,down|,
847,2023-05-10 06:28:00.050000+00:00,2023-05-10T06:28:00.050Z,PC028,Suggested,up|,
846,2023-05-10 06:28:00.537000+00:00,2023-05-10T06:28:00.537Z,PC022,Suggested,up|,
845,2023-05-10 06:28:01.234000+00:00,2023-05-10T06:28:01.234Z,PC024,Suggested,up|,
844,2023-05-10 06:28:01.606000+00:00,2023-05-10T06:28:01.606Z,Teacher,Checked,"{""type"":""Answer"",""sender"":""#u_s_Android201"",""name"":""Earth"",""screenshot"":"""",""px"":-0.3017016053199768,""py"":0.31524795293807983,""pz"":0.2441212236881256,""sx"":0.0020000000949949026,""sy"":0.0020000000949949026,""sz"":0.0020000000949949026,""rx"":0.5648188591003418,""ry"":0.09270726144313812,""rz"":0.8174853324890137,""time_left"":13.78562068939209}",
843,2023-05-10 06:28:01.608000+00:00,2023-05-10T06:28:01.608Z,Android201,Sent,"(-0.3017016053199768,_0.31524795293807983, 0.2441212236881256), (36.79, 141.02) 14",
842,2023-05-10 06:28:01.630000+00:00,2023-05-10T06:28:01.630Z,Teacher,Assigned,8.2;Android201,
841,2023-05-10 06:28:04.702000+00:00,2023-05-10T06:28:04.702Z,Teacher,Asked,2/5,
840,2023-05-10 06:28:22.731000+00:00,2023-05-10T06:28:22.731Z,iPad202,Swiped,Left,"{""score"":{""raw"":0}}"
839,2023-05-10 06:28:26.793000+00:00,2023-05-10T06:28:26.793Z,Android202,Accepted,5,"{""score"":{""raw"":0}}"
838,2023-05-10 06:28:27.131000+00:00,2023-05-10T06:28:27.131Z,Teacher,Set Turn,Android202,
837,2023-05-10 06:28:27.443000+00:00,2023-05-10T06:28:27.443Z,iPad202,Swiped,Right,"{""score"":{""raw"":0}}"
836,2023-05-10 06:28:30.046000+00:00,2023-05-10T06:28:30.046Z,Android204,Suggested,asia|OK,"{""score"":{""raw"":0}}"
835,2023-05-10 06:28:30.747000+00:00,2023-05-10T06:28:30.747Z,iPad202,Swiped,Right,"{""score"":{""raw"":0}}"
834,2023-05-10 06:28:31.051000+00:00,2023-05-10T06:28:31.051Z,PC024,Suggested,asia|OK,
833,2023-05-10 06:28:31.164000+00:00,2023-05-10T06:28:31.164Z,Android201,Suggested,asia|OK,"{""score"":{""raw"":0}}"
832,2023-05-10 06:28:31.302000+00:00,2023-05-10T06:28:31.302Z,PC029,Suggested,asia|OK,
831,2023-05-10 06:28:31.966000+00:00,2023-05-10T06:28:31.966Z,Android203,Suggested,asia|OK,"{""score"":{""raw"":0}}"
830,2023-05-10 06:28:31.987000+00:00,2023-05-10T06:28:31.987Z,PC011,Suggested,asia|OK,
829,2023-05-10 06:28:32.554000+00:00,2023-05-10T06:28:32.554Z,PC021,Suggested,asia|OK,
828,2023-05-10 06:28:32.561000+00:00,2023-05-10T06:28:32.561Z,Android202,Swiped,Left,"{""score"":{""raw"":0}}"
827,2023-05-10 06:28:34.745000+00:00,2023-05-10T06:28:34.745Z,Android202,Swiped,Right,"{""score"":{""raw"":0}}"
826,2023-05-10 06:28:35.074000+00:00,2023-05-10T06:28:35.074Z,PC025,Suggested,asia|OK,
825,2023-05-10 06:28:35.081000+00:00,2023-05-10T06:28:35.081Z,iPhone201,Suggested,asia|OK,"{""score"":{""raw"":0}}"
824,2023-05-10 06:28:35.766000+00:00,2023-05-10T06:28:35.766Z,PC028,Suggested,asia|OK,
823,2023-05-10 06:28:37.466000+00:00,2023-05-10T06:28:37.466Z,PC022,Suggested,asia|OK,
822,2023-05-10 06:28:38.251000+00:00,2023-05-10T06:28:38.251Z,Tablet202,Suggested,asia|OK,"{""score"":{""raw"":0}}"
821,2023-05-10 06:28:45.645000+00:00,2023-05-10T06:28:45.645Z,Android202,Swiped,Right,"{""score"":{""raw"":0}}"
820,2023-05-10 06:28:46.802000+00:00,2023-05-10T06:28:46.802Z,Android204,Swiped,Left,"{""score"":{""raw"":0}}"
819,2023-05-10 06:28:47.978000+00:00,2023-05-10T06:28:47.978Z,Android204,Swiped,Right,"{""score"":{""raw"":0}}"
818,2023-05-10 06:28:50.136000+00:00,2023-05-10T06:28:50.136Z,Android202,Swiped,Left,"{""score"":{""raw"":0}}"
817,2023-05-10 06:28:51.438000+00:00,2023-05-10T06:28:51.438Z,Android202,Swiped,Left,"{""score"":{""raw"":0}}"
816,2023-05-10 06:28:54.696000+00:00,2023-05-10T06:28:54.696Z,Android202,Swiped,Left,"{""score"":{""raw"":0}}"
815,2023-05-10 06:29:00.782000+00:00,2023-05-10T06:29:00.782Z,Android202,Placed,"(-0.20076394631685449,_-0.029319030174354825, 0.4569838683041062), (-3.36, 113.72)",
814,2023-05-10 06:29:02.391000+00:00,2023-05-10T06:29:02.391Z,Android204,Suggested,,"{""score"":{""raw"":0}}"
813,2023-05-10 06:29:03.124000+00:00,2023-05-10T06:29:03.124Z,Android203,Suggested,,"{""score"":{""raw"":0}}"
812,2023-05-10 06:29:03.134000+00:00,2023-05-10T06:29:03.134Z,Android202,Canceled,"(-0.20076394631685449,_-0.029319030174354825, 0.4569838683041062), (-3.36, 113.72)",
811,2023-05-10 06:29:06.708000+00:00,2023-05-10T06:29:06.708Z,Android202,Placed,"(-0.17746638716659682,_-0.16955361721893875, 0.43561159988552767), (-19.82, 112.17)",
810,2023-05-10 06:29:06.899000+00:00,2023-05-10T06:29:06.899Z,Android202,Swiped,Left,"{""score"":{""raw"":0}}"
809,2023-05-10 06:29:08.241000+00:00,2023-05-10T06:29:08.241Z,Android201,Suggested,,"{""score"":{""raw"":0}}"
808,2023-05-10 06:29:08.345000+00:00,2023-05-10T06:29:08.345Z,Tablet202,Suggested,,"{""score"":{""raw"":0}}"
807,2023-05-10 06:29:09.066000+00:00,2023-05-10T06:29:09.066Z,Android204,Suggested,,"{""score"":{""raw"":0}}"
